Year,Author,"Lines added"
2015,"Lee Rowlands",3
2015,"Hugo Hamon",1
2014,"Hugo Hamon",38
2015,"Peter Thompson",42
2015,"Alexander Schwenn",1
2014,"Graham Campbell",5
2014,"Nicolas Grekas",211
2014,"Christophe Coevoet",1
2014,Saro0h,3
2014,"sarah khalil",4
2014,"Wouter J",2
2014,"Julius Beckmann",8
2014,"David Fuhr",6
2014,"Christian Flothmann",246
2014,"Fabien Potencier",61
2014,Disquedur,0
2014,"Alex Pott",34
2014,"Laurent Ghirardotti",2
2014,"Harm van Tilborg",8
2014,"Christian Raue",3
2014,"Zachary Tong",142
2014,sun,96
2014,"Luis Cordova",1
2013,"Fabien Potencier",158
2013,"Christophe Coevoet",6
2013,bronze1man,4
2013,"Nikita Konstantinov",33
2013,fh-github@fholzhauer.de,0
2013,"Jean-François Simon",104
2013,Olivier,15
2013,"Martin Hasoň",0
2013,"Erin Millard",187
2013,"Pascal Borreli",4
2013,"Pavel Volokitin",16
2013,"Dariusz Górecki",0
2013,"Eddie Jaoude",49
2013,"Gordon Franke",0
2012,"Fabien Potencier",3853
2012,sun,43
2013,"Bernhard Schussek",3
2012,"Florin Patan",2
2012,"Pascal Borreli",1
2012,Alexander,2
2012,"Martin Hasoň",1
2012,"Włodzimierz Gajda",181
2012,Drak,3
2012,"Igor Wiedler",2
2012,"Filippo Tessarotto",1
2012,"Romain Neutron",27
2012,"William DURAND",3
2012,"Tim Nagel",1
2012,"Jakub Zalas",2
2012,"Paul Matthews",43
2012,"Jordi Boggiano",7
2012,"Markus Lanthaler",1
2012,"Victor Berchet",1
2012,marc.weistroff,1
2012,"Maksim Kotlyar",9
2012,"Kris Wallsmith",3
2011,"Fabien Potencier",340
2011,"Lukas Kahwe Smith",23
2011,"Igor Wiedler",22
2011,"Joris de Wit",1
2011,"Jeremy Mikola",1
2011,"Martin Schuhfuss",4
2011,"Pascal Borreli",5
2011,"Brikou CARRE",0
2011,"Lenar Lõhmus",1
2011,"Matthew Lewinski",237
2011,"Jordi Boggiano",1
2011,"Hugo Hamon",7
2011,"Xavier Perez",5
2011,"Ryan Weaver",1
2011,"Dominique Bongiraud",15
2010,"Fabien Potencier",1137
2010,"Kris Wallsmith",0
